Site #,Origin,Dominant_s,N_trees at,A_year,D_live_cm,H_live_m,G_live_m2_,f_Gs_cub_m,f_M_stem_kg_m2,f_M_stem_bark_kg_m2,f_M_crown_kg_m2,f_M_foliage_kg_m2,f_M_AG_kg_m2,Ln_Gs_cub_m,Ln_M_stem_kg_m2,Ln_M_stem_bark_kg_m2,Ln_M_crown_kg_m2,Ln_M_foliage_kg_m2,Ln_M_AG_kg_m2,F_Soil,M_Soil,X_N36,Y_N36,Cs_wood_Bq/kg,Sr_wood_Bq/kg,Ln_Cs_wood,Ln_Sr_wood,Cs_2021_kB,Sr_2021_kB,Tag_Cs,Tag_Sr,Ln_Tag_Cs,Ln_Tag_Sr,AEDR_count,AEDR_mean,Distance_k,Azimuth,r2020B01,r2020B02,r2020B03,r2020B04,r2020B05,r2020B06,r2020B07,r2020B08,r2020B09,r2020B10,r2020B11,r2020B12,r2020B13,r2019B01,r2019B02,r2019B03,r2019B04,r2019B05,r2019B06,r2019B07,r2019B08,r2019B09,r2019B10,r2019B11,r2019B12
87,n,Birch,49,50,9.2,15.4,29.3,208,8.23,0.77,1.049,0.195,9.47,5.34,2.11,-0.26,0.05,-1.63,2.25,B,3,301613.378,5703030.165,632,10589,6.4,9.3,1584,643,0.4,16.5,-0.9,2.8,86,1.34,6.9,30,0.0174074503,0.0314811572,0.0218304753,0.2507678314,0.153004668,0.0678409536,0.839933913,-0.7770893885,0.6331046001,-15.458423935,-9.9082180039,0.640783139,0.0091030073,0.0219107636,0.0359540736,0.0219359614,0.2811904523,0.1426740457,0.0608385842,0.8541252423,-0.7726749127,0.642207592,-14.677258476,-9.6127306964,0.6548281195
88,a,Pine,50,63,17,18.5,39.7,343,14.55,0.89,1.58,0.724,16.85,5.84,2.68,-0.12,0.46,-0.32,2.82,B,2,291168.364,5696413.081,9150,30800,9.1,10.3,7794,2062,1.2,14.9,0.2,2.7,28,10.17,7,264,0.0233764614,0.0338122563,0.0241090859,0.1793174409,0.0915979815,0.0444137973,0.7618914574,-0.6861189863,0.6129996128,-15.143884092,-11.288385906,0.7452648674,-0.0159958316,0.0226107306,0.0376061233,0.0245051601,0.197097743,0.1030281619,0.049640588,0.7784420858,-0.6793686508,0.5970037932,-14.140013385,-10.763398019,0.7609823042
89,a,Pine,27,100,39.7,27.2,56.9,597,21.07,1.83,2.316,0.698,24.08,6.39,3.05,0.6,0.84,-0.36,3.18,B,2,291055.473,5696266.18,1130,5020,7,8.5,6909,1738,0.2,2.9,-1.8,1.1,66,7.08,7.1,263,0.0210281462,0.03433153,0.0218368804,0.1931772818,0.0798960641,0.0365702581,0.7968842035,-0.6965530949,0.6918531134,-15.590321746,-9.7323713332,0.6248611478,-0.0105335562,0.0191528707,0.0321561795,0.0194306643,0.1894817686,0.0798427254,0.0359135473,0.8141768494,-0.7099209224,0.6813195563,-15.12475011,-9.7302506798,0.6435310935
90,a,Birch,37,30,20.7,17.2,25,198,9.73,1.2,1.563,0.399,11.69,5.29,2.28,0.18,0.45,-0.92,2.46,B,2,293437.481,5696515.372,10900,156000,9.3,12,21321,7787,0.5,20,-0.7,3,56,27.87,4.7,263,0.0282879152,0.0401434898,0.0372211028,0.2213238759,0.1490646396,0.0787482303,0.7115614565,-0.7276856758,0.516056234,-16.42400661,-10.549224631,0.6434027688,-0.0492992305,0.0275194365,0.0443733669,0.0342216775,0.2397015127,0.1627821495,0.0868406339,0.749499038,-0.6872816085,0.4667570021,-16.34350443,-10.726618998,0.6577721378
91,n,Pine,17,35,25.3,13,34.3,202,8.24,1.19,1.549,0.738,10.52,5.31,2.11,0.17,0.44,-0.3,2.35,A,2,293207.012,5696871.089,2800,21400,7.9,10,3774,1458,0.7,14.7,-0.3,2.7,10,4.08,4.9,267,0.0264066761,0.0370917152,0.0336747128,0.1770749936,0.1350510873,0.0728842307,0.6808311374,-0.6876478282,0.452300347,-15.084241891,-11.470202851,0.7598246329,-0.0510838675,0.0300730996,0.0434747309,0.0363845427,0.1980439114,0.1453214428,0.0842820222,0.6899759382,-0.6388457283,0.4012164812,-14.584385647,-11.724722268,0.8033619214
92,n,Pine,36,35,19.2,12.4,41.8,220,9.36,1.4,1.675,1.121,12.16,5.39,2.24,0.34,0.52,0.11,2.5,B,2,290409.424,5693514.85,59,842,4.1,6.7,785,156,0.1,5.4,-2.6,1.7,42,0.63,8.5,245,0.0237031997,0.0362959119,0.023650798,0.2394377486,0.0885961917,0.0408654099,0.8207435306,-0.7315628159,0.6974827398,-15.150494691,-11.521924522,0.7648626983,-0.0057575675,0.0214389663,0.0361549348,0.0230464812,0.2311518094,0.0903918516,0.0422988958,0.8188318986,-0.7297062365,0.6917251614,-15.130488507,-11.158323495,0.7413003935
93,n,Pine,35,35,22.6,11.4,28,155,6.54,0.87,1.128,0.681,8.35,5.04,1.88,-0.14,0.12,-0.38,2.12,B,2,290455.952,5693569.745,46,1000,3.8,6.9,822,165,0.1,6.1,-2.9,1.8,123,0.7,8.5,245,0.0222147868,0.0346556341,0.0239081511,0.2099585695,0.0843301288,0.0412192628,0.7952193077,-0.7398413945,0.6885392636,-16.008681005,-12.559293074,0.7849846121,-0.0527303945,0.0205551525,0.0328142643,0.0225612854,0.2157352535,0.0971496793,0.0478275095,0.8096117647,-0.7353418949,0.6358088841,-16.494670862,-12.207333468,0.7406003246
94,n,Pine,23,20,16.5,8.6,9.8,46,2.05,0.59,0.596,0.221,2.87,3.83,0.72,-0.53,-0.52,-1.51,1.05,B,2,290416.479,5693452.634,34,1010,3.5,6.9,706,143,0,7.1,-3,2,56,0.54,8.5,245,0.0240867014,0.0358461091,0.0274404339,0.2221677867,0.1159057412,0.0572735559,0.7805588327,-0.7050046021,0.5034474773,-18.361197041,-11.75625299,0.6416448472,0.0711014695,0.0252988039,0.0420114594,0.0304904607,0.2353255145,0.1246919521,0.0637571051,0.7708026126,-0.6973891211,0.5745489528,-18.334000839,-12.066478866,0.6590057516
95,n,Aspen,46,25,11.3,14.7,18,148,6.65,1.04,1.173,0.168,7.99,5,1.89,0.04,0.16,-1.78,2.08,B,3,292972.606,5696632.095,86400,65500,11.4,11.1,18333,7312,4.7,9,1.6,2.2,32,20.05,5.2,265,0.021614916,0.0348101657,0.0254764993,0.2546820918,0.1660092548,0.0764407425,0.8173144969,-0.7674495123,0.5691172399,-15.790608396,-10.313410737,0.6533708507,0.0204624114,0.0223928882,0.0370511802,0.0226490972,0.2795579046,0.1602764098,0.0719733819,0.8496586804,-0.7659415148,0.5895796176,-15.305860232,-9.838538115,0.6428965222
96,n,Birch,110,18,7.9,13.8,19.3,138,6.19,0.72,1.02,0.193,7.4,4.93,1.82,-0.33,0.02,-1.65,2,B,3,293436.89,5696451.594,13900,98900,9.5,11.5,22083,8387,0.6,11.8,-0.5,2.5,46,14.99,4.7,262,0.0231181903,0.0363924533,0.0286637228,0.2501820808,0.1706788337,0.0833970172,0.7944523683,-0.7311883451,0.4626713294,-16.311229675,-10.650030976,0.6528155532,0.0877145157,0.0232762214,0.0395750361,0.0277419669,0.2713946032,0.1649486612,0.0785863594,0.8146439539,-0.7453733354,0.5503858512,-16.344449518,-10.508521688,0.6431122615
97,a,Pine,39,58,16,17.5,31.5,280,11.17,1.05,1.109,0.639,12.92,5.63,2.41,0.05,0.1,-0.45,2.56,A,2,305671.752,5694879.79,664,3960,6.5,8.3,540,148,1.2,26.8,0.2,3.3,10,0.65,7.9,106,0.0289330327,0.0331588552,0.0416073336,0.0649334588,0.1439805301,0.1387185628,0.2191032497,-0.3258153259,-0.3340679068,-15.162957368,-9.872011629,0.6512086884,0.8224084333,0.0250464284,0.0387194333,0.0288689527,0.1818876282,0.1163114595,0.0627374631,0.7257749769,-0.6488513469,0.48834054,-13.471527805,-10.240038294,0.7602607599
98,a,Pine,74,60,14.7,18.1,45.7,398,15.31,0.88,1.635,0.667,17.61,5.99,2.73,-0.13,0.49,-0.4,2.87,A,2,305394.421,5697692.782,829,5300,6.7,8.6,520,137,1.6,38.7,0.5,3.7,32,0.65,7.3,85,0.0212643449,0.037707607,0.0253743675,0.2179857835,0.101102328,0.0477563733,0.7914282145,-0.6986207344,0.6336645902,-16.128120144,-11.158523509,0.691800668,-0.0594173785,0.0228901131,0.0375873431,0.0263766671,0.1905394075,0.1066162885,0.0515282017,0.7566351474,-0.6703160953,0.5742472088,-15.018624336,-9.849562219,0.6556869715
99,a,Pine,32,40,15.4,17.7,55.8,397,17.98,1.38,1.777,0.63,20.39,5.98,2.89,0.32,0.57,-0.46,3.02,A,2,305411.772,5697671.487,792,3700,6.7,8.2,518,135,1.5,27.4,0.4,3.3,28,0.63,7.3,86,0.0240166015,0.0398801839,0.0275796606,0.2194829953,0.1091974486,0.0543726506,0.7773352151,-0.6715933452,0.5991820928,-15.705265965,-10.886230196,0.6924757669,-0.0632642933,0.0230045641,0.0385557604,0.0276817708,0.1968583834,0.1122393873,0.0595003256,0.7533535483,-0.6725200822,0.5359177874,-14.765516591,-9.8825382601,0.6684496497
100 chz_2,n,Birch,46,33,14.8,15.7,31.8,230,11.09,1.12,1.552,0.261,12.9,5.44,2.41,0.11,0.44,-1.34,2.56,C,3,299179.331,5701134.686,3200,4600,8.1,8.4,2548,1012,1.3,4.5,0.2,1.5,114,2.92,4.2,14,0.020555654,0.0404600356,0.0299184382,0.2464502212,0.1689677335,0.0864644968,0.7830008337,-0.7233454672,0.447913989,-16.979155579,-10.670369679,0.6283830811,-0.0077745262,0.0245508034,0.0393695663,0.0296703109,0.2270210139,0.173985117,0.0875655185,0.7661413237,-0.7027511339,0.4401394601,-16.897097436,-10.138398344,0.6000330809
102 chz_2_3,n,Birch,49,15,4.8,8.3,3.6,11,0.84,0.24,0.303,0.054,1.2,2.4,-0.17,-1.43,-1.19,-2.92,0.18,B,2,299182.987,5701278.99,2959,22968,8,10,2267,908,1.3,25.3,0.3,3.2,44,2.78,4.3,14,0.0187148005,0.0324155665,0.028372328,0.162948749,0.1249391711,0.0738690301,0.7039534878,-0.6582496993,0.3018248063,-16.966731744,-9.6050897067,0.5676623923,-0.0574770149,0.0340951623,0.048102325,0.047715803,0.1882278316,0.1719562909,0.1147378848,0.5952256497,-0.5927222696,0.2443477961,-16.02659026,-9.6767411883,0.6060341258
103 chz_2_4,n,Pine,16,15,5,4.7,1.3,6,0.17,0.06,0.211,0.063,0.45,1.79,-1.77,-2.81,-1.56,-2.76,-0.8,A,2,299278.809,5701187.417,4200,35900,8.3,10.5,2441,975,1.7,36.8,0.5,3.6,56,2.92,4.2,16,0.031999772,0.0449303366,0.0490511404,0.167941603,0.1973382854,0.1413612299,0.5508818377,-0.542347628,0.1107110304,-18.91640769,-11.943395244,0.6306096281,-0.0935120846,0.0477549759,0.0625470527,0.0693957927,0.1807424842,0.2303395984,0.1747434385,0.446415524,-0.4871017571,0.0171989432,-19.04047291,-12.861094571,0.6751694373
106 kopachy_1,n,Pine,43,30,19.3,10.6,25.1,131,5.62,1.35,1.374,1.037,8.03,4.88,1.73,0.3,0.32,0.04,2.08,B,2,300371.815,5690953.218,38,601,3.6,6.4,632,269,0.1,2.2,-2.8,0.8,37,0.75,6.5,160,0.0283162531,0.0406003383,0.0386185531,0.140123522,0.1726235251,0.1241881009,0.5662682375,-0.5491581032,0.0731680417,-18.250999541,-11.044519159,0.6044749218,0.4993709838,0.023999844,0.0358711571,0.0258087166,0.2096769991,0.1039765064,0.0569647665,0.7807405236,-0.7078960993,0.5725390343,-17.950607816,-12.200227762,0.6786975086
107 kopachy_2,n,Pine,34,15,9,6,4.3,20,0.84,0.25,0.267,0.113,1.22,3,-0.17,-1.39,-1.32,-2.18,0.2,A,2,300285.796,5691003.782,120,970,4.8,6.9,676,292,0.2,3.3,-1.7,1.2,14,0.78,6.5,161,0.029380408,0.0469003971,0.0442519646,0.1893986385,0.1896374518,0.1107187667,0.6208505506,-0.6122979206,0.2551365899,-19.026411923,-12.428548981,0.6534958018,0.0427189301,0.0304201722,0.0468003726,0.0396193643,0.2037705074,0.1866871394,0.1102783073,0.6744795357,-0.6263263147,0.2978555195,-19.969104974,-14.062131129,0.7050702556
001_2021,a,Pine,25,68,26.1,25.4,49.1,524,16.49,1.07,1.936,0.688,19.12,6.26,2.8,0.07,0.66,-0.37,2.95,A,2,292599,5695004,2220,8990,7.7,9.1,2842,998,0.8,9,-0.2,2.2,26,3.52,5.9,249,0.0252528658,0.0331744429,0.0290355269,0.1241606497,0.0914856893,0.0593139601,0.6276083304,-0.6656973112,0.5749867192,-17.649188586,-13.115131961,0.7400585398,-0.0503820487,0.0207863692,0.0314022391,0.0235819289,0.1511019039,0.081970384,0.0460460702,0.7279612639,-0.6562493853,0.5246046733,-17.262209454,-13.313506054,0.7694974326
002_2021,n,Pine,62,15,4.5,4.9,9.7,31,1.14,0.34,0.388,0.374,1.9,3.43,0.13,-1.08,-0.95,-0.98,0.64,A,2,292508,5694983,4540,23900,8.4,10.1,2930,988,1.5,24.2,0.4,3.2,15,3.83,6,249,0.0226568189,0.0333247555,0.0250913221,0.1783530391,0.0994863055,0.0536865385,0.7542846658,-0.6838643126,0.511730879,-15.228468659,-12.385139187,0.813747106,-0.0408790249,0.0256976751,0.0398530009,0.0309707845,0.1880094816,0.1168908025,0.0676792196,0.7175762877,-0.6505822004,0.4708518546,-15.006032669,-12.419090111,0.8281561906
003_2021,n,Pine,49,69,28.1,27.6,54.7,598,20.87,2.09,2.15,0.684,23.7,6.39,3.04,0.74,0.77,-0.38,3.17,A,2,296034,5684226,164,612,5.1,6.4,281,66,0.6,9.3,-0.5,2.2,28,0.48,13,189,0.0257827591,0.0368632806,0.0248604418,0.1966454074,0.0885889715,0.0426511327,0.77543941,-0.6927727527,0.6474273159,-14.497010646,-9.8247595216,0.678559412,-0.0015097763,0.0212729337,0.0331717151,0.0211321065,0.1929290966,0.0872073877,0.0415025806,0.8023049547,-0.706442848,0.6459175503,-14.379360475,-9.4334031454,0.6566521317
004_2021,n,Pine,24,15,15,8.5,40.4,138,6.31,1.21,1.1,0.831,8.24,4.93,1.84,0.19,0.1,-0.19,2.11,B,2,296144,5684517,42,369,3.7,5.9,290,70,0.1,5.3,-1.9,1.7,20,0.36,12.7,189,0.0241059132,0.0359641433,0.0246344537,0.2050108096,0.0941406939,0.0467521416,0.7854594524,-0.7050978289,0.6450054988,-14.495224165,-9.8061912323,0.6772095735,-0.053108185,0.0234954927,0.0374639838,0.0247716331,0.2178293501,0.1079536365,0.0557710719,0.7959229381,-0.7063787887,0.5918973092,-15.207893421,-10.534197337,0.6936535786
005_2021,n,Pine,26,10,7.2,3.4,2.1,5,0.15,0.04,0.267,0.08,0.5,1.61,-1.9,-3.22,-1.32,-2.53,-0.69,B,2,296219,5684352,73,464,4.3,6.1,287,70,0.3,6.6,-1.4,1.9,18,0.33,12.9,189,0.0322906931,0.0459517661,0.0425400613,0.2030626091,0.1676461311,0.0967689931,0.6535169573,-0.6607999642,0.4195823659,-18.032637551,-12.635335776,0.7018214234,-0.0279641034,0.0285068909,0.0454614945,0.0364932136,0.2258235389,0.1706635759,0.0987366118,0.721266505,-0.6645301497,0.391618258,-18.192633195,-13.245701511,0.7287371311
006_2021,a,Pine,36,69,21,24.7,48.4,497,19.62,1.16,1.435,0.608,21.67,6.21,2.98,0.15,0.36,-0.5,3.08,A,2,295843,5684029,272,681,5.6,6.5,289,67,0.9,10.2,-0.1,2.3,13,0.46,13.3,190,0.0236799757,0.0357490225,0.0242166095,0.2035309294,0.0886568562,0.0439829823,0.7872844482,-0.6926732233,0.6235082105,-15.277538854,-10.790849704,0.70815767,-0.016189221,0.0219378172,0.0372323521,0.0271833412,0.2070551154,0.102767964,0.0505812104,0.7680057028,-0.6953357341,0.6073189726,-14.647809047,-11.016315988,0.753889654
007_2021,a,Oak,26,55,8.7,9.2,14.3,79,3.59,0.67,1.03,0.251,4.87,4.37,1.28,-0.4,0.03,-1.38,1.58,B,3,296053,5703489,26300,67900,10.2,11.1,6873,2432,3.8,27.9,1.3,3.3,10,10.26,6.7,342,0.0248081479,0.0458170345,0.0359725621,0.2773673967,0.2107313891,0.104341638,0.7701084102,-0.6984422885,0.3815731327,-17.143238898,-10.879906948,0.6346596607,0.1185051743,0.0287467509,0.0495835899,0.0345445221,0.280000506,0.194946944,0.093239781,0.7800528982,-0.6988625603,0.5000783068,-15.094651547,-10.520000085,0.6969679876
008_2021,n,Birch,47,10,7.5,12.1,19.8,127,5.98,0.68,0.971,0.139,7.09,4.84,1.79,-0.39,-0.03,-1.97,1.96,C,4,295929,5703533,4130,3240,8.3,8.1,7257,2745,0.6,1.2,-0.6,0.2,23,4.44,6.8,341,0.0230331279,0.044996578,0.0318812768,0.2890045031,0.1908028898,0.0899394934,0.8008445856,-0.7231897628,0.4706115817,-16.58928001,-12.387535203,0.7473260497,0.0797989428,0.0227473811,0.0421516557,0.0277154871,0.2888191175,0.181686107,0.0835701166,0.8245282366,-0.7448226122,0.5504105132,-14.834569277,-12.128648306,0.8188720439
